fold,exact_frequency_baseline_auc,digit_candidate_auc,delta_vs_exact_frequency,catboost_auc,delta_vs_catboost,best_iteration_zero_based,te_generation_seconds,fit_seconds,inference_seconds,total_fold_seconds
0,0.9449027663328033,0.9449139511126398,1.1184779836415082e-05,0.9445226451913928,0.00039130592124692054,1153,1.406405999998242,11.804588799997873,0.3284400000011374,16.877679099998204
1,0.9455028650712451,0.945509644061093,6.778989847799899e-06,0.9450696193102858,0.0004400247508071775,1585,1.6011259000006248,16.340471399998933,0.39237820000198553,21.880006700001104
2,0.9468081383093543,0.9468314539847251,2.3315675370838562e-05,0.9464517911811139,0.00037966280361123594,1325,1.6878144000002067,13.508465899998555,0.3103630000005069,18.95739919999687
3,0.9460004072778,0.9460558259852887,5.541870748870803e-05,0.9457721613739136,0.0002836646113750785,1080,1.5555924000000232,9.021424599999591,0.2901289999972505,13.965856200000417
4,0.9458420125880271,0.9458602948362825,1.8282248255396816e-05,0.9454100967519183,0.00045019808436419506,1141,1.5549036000011256,10.513081999997667,0.2731619000005594,15.25345009999728
