fold,baseline_auc,candidate_auc,delta_vs_baseline,best_iteration,fit_seconds,total_fold_seconds
0,0.9450823803276757,0.9447748782109833,-0.000307502116692393,1871,20.394194900000002,28.994025600000896
1,0.9458205254865945,0.9455762066350178,-0.00024431885157660815,2076,40.72011940000084,49.838333200001216
2,0.9470096158147846,0.9466905127888126,-0.0003191030259720451,2285,52.477574300000924,62.125898100000995
3,0.9463463285477415,0.946140514870532,-0.00020581367720950983,2126,50.29420680000112,60.839788499999486
4,0.946076212994297,0.9458707172034562,-0.00020549579084083724,1815,43.724362900000415,54.23840030000065
