candidate,oof_auc,delta_vs_seed42,kind
avg3_rank,0.9454395562328257,7.527451852062939e-05,equal_average
avg3_probability,0.9454383654561966,7.408374189155076e-05,equal_average
seed_2026,0.9454062898805193,4.2008166214246856e-05,single_seed
seed_7,0.9453864206497127,2.21389354075896e-05,single_seed
seed_42,0.9453642817143051,0.0,single_seed
