fold,seed42_auc,best_average_auc,delta
0,0.9444548687151119,0.9445226411182757,6.777240316380162e-05
1,0.944960943289874,0.9450696179526259,0.0001086746627518842
2,0.9463564213914613,0.9464517962238508,9.53748323895276e-05
3,0.9457240208872144,0.9457721598223026,4.8138935088148926e-05
4,0.945356736838697,0.9454100971398213,5.336030112423895e-05
