fold,feature,is_commute_hte,is_income_hte,is_fine_income_te,is_exact_te,is_income_digit,is_exact_frequency,gain_importance
2,Charging_Stations_Near_Home,False,False,False,False,False,False,0.014576684683561325
2,Charging_Stations_Near_Work,False,False,False,False,False,False,0.01265045627951622
2,Environmental_Concern_Level,False,False,False,False,False,False,0.05371754616498947
2,Gender,False,False,False,False,False,False,0.010615251027047634
2,City_Type,False,False,False,False,False,False,0.012548846192657948
2,Current_Car_Type,False,False,False,False,False,False,0.011801667511463165
2,Home_Charging_Possible,False,False,False,False,False,False,0.025535564869642258
2,Subsidy_Available,False,False,False,False,False,False,0.015324313193559647
2,Range_Anxiety_Level,False,False,False,False,False,False,0.019145796075463295
2,FE__income_digit_ones,False,False,False,False,True,False,0.01121657993644476
2,FE__income_digit_tens,False,False,False,False,True,False,0.01116479653865099
2,FE__income_digit_hundreds,False,False,False,False,True,False,0.011783783324062824
2,FE__income_digit_thousands,False,False,False,False,True,False,0.015018653124570847
2,FE__income_digit_ten_thousands,False,False,False,False,True,False,0.028034226968884468
2,FE__income_digit_hundred_thousands,False,False,False,False,True,False,0.206320658326149
2,FE__income_last2,False,False,False,False,True,False,0.01099916361272335
2,FE__income_last3,False,False,False,False,True,False,0.011904455721378326
2,FE__income_exact_frequency_count,False,False,False,False,False,True,0.013025669381022453
2,FE__income_exact_frequency_log1p,False,False,False,False,False,True,0.012576185166835785
2,FE__income_exact_frequency_rate,False,False,False,False,False,True,0.012633374892175198
2,FE__commute_exact_frequency_count,False,False,False,False,False,True,0.011037159711122513
2,FE__commute_exact_frequency_log1p,False,False,False,False,False,True,0.011061681434512138
2,FE__commute_exact_frequency_rate,False,False,False,False,False,True,0.010748030617833138
2,TE__Annual_Income_USD_exact,False,False,False,True,False,False,0.09805385023355484
2,TE__Daily_Commute_km_exact,False,False,False,True,False,False,0.02349765971302986
2,HTE__income_1k_bucket,False,True,False,False,False,False,0.014957914128899574
2,HTE__income_10k_bucket,False,True,False,False,False,False,0.04060082882642746
2,HTE__income_100k_bucket,False,True,False,False,False,False,0.02593887411057949
2,HTE__commute_1km_bucket,True,False,False,False,False,False,0.03466629609465599
2,HTE__commute_5km_bucket,True,False,False,False,False,False,0.013177427463233471
2,HTE__commute_10km_bucket,True,False,False,False,False,False,0.011945086531341076
2,HTE__income_50_bucket,False,False,True,False,False,False,0.061980023980140686
2,HTE__income_250_bucket,False,False,True,False,False,False,0.021271053701639175
3,Age,False,False,False,False,False,False,0.020230408757925034
3,Annual_Income_USD,False,False,False,False,False,False,0.059535812586545944
3,Daily_Commute_km,False,False,False,False,False,False,0.012186245061457157
3,Number_of_Cars_Owned,False,False,False,False,False,False,0.011855177581310272
3,Charging_Stations_Near_Home,False,False,False,False,False,False,0.014079398475587368
3,Charging_Stations_Near_Work,False,False,False,False,False,False,0.012313583865761757
3,Environmental_Concern_Level,False,False,False,False,False,False,0.057810500264167786
3,Gender,False,False,False,False,False,False,0.010435305535793304
3,City_Type,False,False,False,False,False,False,0.01225991826504469
3,Current_Car_Type,False,False,False,False,False,False,0.011746186763048172
3,Home_Charging_Possible,False,False,False,False,False,False,0.027308858931064606
