held_fold,control_cat_weight,control_xgb_weight,control_old_lgbm_weight,control_fit_auc,control_held_auc,candidate_cat_weight,candidate_xgb_weight,candidate_new_lgbm_weight,candidate_fit_auc,candidate_held_auc,candidate_delta_vs_control
0,0.15,0.6,0.25,0.9461491287377388,0.9449677213026113,0.15,0.55,0.3,0.9461542415758362,0.9449609465449568,-6.774757654537389e-06
1,0.15,0.6,0.25,0.9459907014440859,0.9456023194776919,0.15,0.55,0.3,0.9459956908863356,0.9455955102314234,-6.8092462685021005e-06
2,0.15,0.55,0.3,0.9456592060285124,0.9469241198977048,0.15,0.55,0.3,0.9456564571682798,0.946951338845297,2.7218947592277942e-05
3,0.1,0.65,0.25,0.9458584914676159,0.9461250689677654,0.1,0.6,0.3,0.9458614586704962,0.9461250999999917,3.1032226344152036e-08
4,0.15,0.6,0.25,0.945907592282714,0.9459328881354976,0.15,0.55,0.3,0.945909819566825,0.9459377212108011,4.83307530352306e-06
