held_fold,blend,w_xgb,w_cat,w_log,train_search_auc,held_fold_auc,held_fold_xgb_auc,delta_vs_xgb
0,prob_xgb_cat,0.92,0.07999999999999996,0.0,0.942185526061901,0.9407764336607387,0.9407760420596134,3.916011253046747e-07
0,rank_xgb_cat,0.92,0.07999999999999996,0.0,0.9421864657080175,0.9407788447521641,0.9407760420596134,2.8026925507074196e-06
0,prob_three,0.95,0.05,0.0,0.9421850217276129,0.9407776393034304,0.9407760420596134,1.597243816986449e-06
0,rank_three,0.9,0.1,0.0,0.9421861794963391,0.9407784727407931,0.9407760420596134,2.430681179665939e-06
1,prob_xgb_cat,0.92,0.07999999999999996,0.0,0.9419942100603151,0.9415600135724408,0.9415592061527012,8.07419739623505e-07
1,rank_xgb_cat,0.92,0.07999999999999996,0.0,0.9419954947083519,0.9415610035004616,0.9415592061527012,1.7973477604016352e-06
1,prob_three,0.9,0.1,0.0,0.9419937032488694,0.9415585531182878,0.9415592061527012,-6.530344133226507e-07
1,rank_three,0.9,0.1,0.0,0.9419953049859013,0.9415596817215701,0.9415592061527012,4.755688689517257e-07
2,prob_xgb_cat,0.92,0.07999999999999996,0.0,0.9416542721835839,0.9429052322681226,0.9429027661758843,2.4660922383068495e-06
2,rank_xgb_cat,0.92,0.07999999999999996,0.0,0.9416550786282498,0.9429077567397367,0.9429027661758843,4.990563852391716e-06
2,prob_three,0.95,0.05,0.0,0.9416538008776687,0.9429052574818066,0.9429027661758843,2.491305922336373e-06
2,rank_three,0.9,0.1,0.0,0.9416547612846914,0.9429072466475162,0.9429027661758843,4.480471631929106e-06
3,prob_xgb_cat,0.93,0.06999999999999995,0.0,0.9417685225560022,0.9424464956666763,0.9424390279553546,7.467711321651471e-06
3,rank_xgb_cat,0.92,0.07999999999999996,0.0,0.9417698412670432,0.9424471896248382,0.9424390279553546,8.161669483586209e-06
3,prob_three,0.95,0.05,0.0,0.9417683728606125,0.9424451818397929,0.9424390279553546,6.1538844382535984e-06
3,rank_three,0.9,0.1,0.0,0.9417693935506681,0.9424476390102661,0.9424390279553546,8.611054911455973e-06
4,prob_xgb_cat,0.93,0.06999999999999995,0.0,0.9419160108325636,0.941865187201758,0.9418583075511261,6.879650631952394e-06
4,rank_xgb_cat,0.92,0.07999999999999996,0.0,0.941917384905079,0.9418654117974963,0.9418583075511261,7.104246370182032e-06
4,prob_three,0.95,0.05,0.0,0.9419157497717565,0.9418639653078452,0.9418583075511261,5.657756719124052e-06
4,rank_three,0.9,0.1,0.0,0.9419168914157837,0.9418655237074625,0.9418583075511261,7.216156336364854e-06
