blend,meta_oof_auc,delta_vs_xgboost,folds_beating_xgboost,mean_w_xgb,mean_w_cat,mean_w_log,std_w_xgb,std_w_cat,std_w_log
rank_xgb_cat,0.9419043738243351,5.116480620959152e-06,5,0.9200000000000002,0.07999999999999996,0.0,1.2412670766236366e-16,0.0,0.0
rank_three,0.9419040257024694,4.76835875529158e-06,5,0.9,0.1,0.0,0.0,0.0,0.0
prob_xgb_cat,0.9419031171736029,3.859829888708255e-06,5,0.924,0.07599999999999996,0.0,0.005477225575051666,0.005477225575051666,0.0
prob_three,0.941902655666975,3.398323260794811e-06,4,0.9400000000000001,0.06,0.0,0.022360679774997866,0.022360679774997897,0.0
