fold,baseline_auc,candidate_auc,delta_vs_baseline,best_iteration,fit_seconds,total_fold_seconds
0,0.9449823366169214,0.9449788521621341,-3.4844547873724707e-06,567,19.738532700001088,28.740008799999487
1,0.9456581817520664,0.9456264416030452,-3.17401490211866e-05,591,20.062623999998323,28.528957499998796
2,0.9468845406204031,0.9469471619076295,6.262128722644977e-05,1029,30.33632860000216,39.74776980000024
3,0.9463109987459366,0.9462663251407755,-4.4673605161138497e-05,429,17.91889430000083,26.2338677000007
4,0.9459415969419218,0.9459618949272307,2.0297985308892486e-05,439,20.024321799999598,28.388178599998355
