fold,feature,is_income_digit_feature,is_source_recipe_feature,is_exact_te_feature,gain_importance
4,Annual_Income_USD,False,False,False,0.005899893585592508
4,Daily_Commute_km,False,False,False,0.0023637982085347176
4,Number_of_Cars_Owned,False,False,False,0.002191148465499282
4,Charging_Stations_Near_Home,False,False,False,0.00264940969645977
4,Charging_Stations_Near_Work,False,False,False,0.002218072535470128
4,Environmental_Concern_Level,False,False,False,0.16107144951820374
4,Gender,False,False,False,0.001879330025985837
4,City_Type,False,False,False,0.0022980347275733948
4,Current_Car_Type,False,False,False,0.002104385057464242
4,Home_Charging_Possible,False,False,False,0.00653612008318305
4,Subsidy_Available,False,False,False,0.23083849251270294
4,Range_Anxiety_Level,False,False,False,0.004218121990561485
4,FE__income_digit_ones,True,False,False,0.0020641442388296127
4,FE__income_digit_tens,True,False,False,0.001967628486454487
4,FE__income_digit_hundreds,True,False,False,0.0032162365969270468
4,FE__income_digit_thousands,True,False,False,0.002815949497744441
4,FE__income_digit_ten_thousands,True,False,False,0.006159503012895584
4,FE__income_digit_hundred_thousands,True,False,False,0.011271798983216286
4,FE__income_last2,True,False,False,0.0020357274916023016
4,FE__income_last3,True,False,False,0.002445054007694125
4,FE__original_source_recipe_score,False,True,False,0.5140172243118286
4,TE__Annual_Income_USD_exact,False,False,True,0.020374856889247894
4,TE__Daily_Commute_km_exact,False,False,True,0.005748090799897909
