fold,depth5_2000_auc,depth5_3500_auc,delta_vs_depth5_2000,multiseed_champion_auc,delta_vs_multiseed_champion,best_iteration_zero_based,tree_count,fit_seconds,stopped_before_budget
0,0.9444611742884562,0.9444997957797222,3.8621491265988794e-05,0.9445226451913928,-2.284941167063348e-05,2580,2581,117.32210149999992,True
1,0.9450025028111202,0.9450100232772264,7.520466106192281e-06,0.9450696193102858,-5.959603305938366e-05,1905,1906,100.12763519999999,True
2,0.9463522223433325,0.9463589061030356,6.683759703141057e-06,0.9464517911811139,-9.288507807825308e-05,2406,2407,132.06806760000018,True
3,0.9457294817832478,0.9457389140284489,9.432245201113076e-06,0.9457721613739136,-3.324734546472641e-05,1817,1818,106.2444061000001,True
4,0.9454400252007744,0.9454436043801819,3.579179407520172e-06,0.9454100967519183,3.350762826359599e-05,2621,2622,161.22158820000004,True
