smoothing,oof_auc,delta_vs_m25,folds_improved_vs_m25,folds_worse_vs_m25,probability_corr_vs_catboost,rank_corr_vs_catboost,runtime_seconds
5.0,0.9454751944950601,0.000493828112488548,5,0,0.8084133071586802,0.9954269176257892,51.7966976000007
10.0,0.9453306894903899,0.0003493231078183223,5,0,0.8082393088158659,0.9951819435839626,53.79837360000056
15.0,0.9451682842552103,0.0001869178726386922,5,0,0.8081611769025353,0.9951274666299806,59.315348500000255
20.0,0.945060755561586,7.938917901439968e-05,5,0,0.8079406394837549,0.9949266933953917,64.65806920000068
25.0,0.9449813663825716,0.0,0,0,0.8079805350718342,0.9948529265967343,58.90498470000057
30.0,0.9448822280915516,-9.913829101992899e-05,0,5,0.8079510862464553,0.9948267930492312,59.66605660000096
