smoothing,fold,raw_xgb_auc,candidate_auc,delta_vs_raw_xgb,catboost_champion_auc,delta_vs_catboost_champion,best_iteration_zero_based,te_generation_seconds,fit_seconds,inference_seconds,total_fold_seconds
5.0,0,0.9408706582447172,0.9445029920129779,0.003632333768260776,0.9445226451913928,-1.9653178414902328e-05,1145,1.419594799999686,8.268098000000464,0.19262789999993402,10.007180499998867
5.0,1,0.9417301473655416,0.9451401192918811,0.0034099719263395167,0.9450696193102858,7.04999815953622e-05,1374,1.4916423999984545,8.421110999999655,0.20593660000122327,10.248761200000445
5.0,2,0.9431367450896386,0.9465105786307253,0.0033738335410866682,0.9464517911811139,5.878744961140825e-05,1519,1.4718689000001177,9.554231699999946,0.22619630000008328,11.38046679999934
5.0,3,0.9425899293322193,0.9456925375298664,0.003102608197647072,0.9457721613739136,-7.962384404724965e-05,1331,1.4742869999990944,8.075519699999859,0.19470580000051996,9.865243199999895
5.0,4,0.9420368130630926,0.9455561196688482,0.003519306605755612,0.9454100967519183,0.00014602291692988878,1430,1.4829066999991483,8.462724700000763,0.20770640000046114,10.269902600000933
10.0,0,0.9408706582447172,0.9443887969353587,0.003518138690641548,0.9445226451913928,-0.0001338482560341303,1271,1.4771712000001571,7.979422899999918,0.19197499999972933,9.771868199999517
10.0,1,0.9417301473655416,0.9450306888004663,0.003300541434924642,0.9450696193102858,-3.8930509819512515e-05,1437,1.539425699998901,8.733875199999602,0.21648659999846132,10.619517799999812
10.0,2,0.9431367450896386,0.9463044637469685,0.0031677186573298988,0.9464517911811139,-0.0001473274341453612,1514,1.5749618999998347,9.020171300000584,0.22392340000078548,10.939134000000195
10.0,3,0.9425899293322193,0.945518578626964,0.0029286492947446785,0.9457721613739136,-0.0002535827469496432,1521,1.5109888000006322,9.436063099999956,0.21698130000004312,11.282516199999009
10.0,4,0.9420368130630926,0.9454404918478785,0.0034036787847858685,0.9454100967519183,3.0395095960145113e-05,1142,1.6043728999993618,9.16980329999933,0.2441672999993898,11.157372199999372
15.0,0,0.9408706582447172,0.9442473548371966,0.0033766965924794112,0.9445226451913928,-0.000275290354196267,1295,1.6931727999999566,9.715130900000077,0.2596380999984831,11.818820999998934
15.0,1,0.9417301473655416,0.9448753143221236,0.0031451669565819573,0.9450696193102858,-0.0001943049881621972,1438,1.7835230000000593,10.683160000000498,0.25195910000002186,12.868655100000979
15.0,2,0.9431367450896386,0.9461476986369823,0.003010953547343709,0.9464517911811139,-0.0003040925441315512,1527,1.7946062000009988,10.780302600000141,0.2714166000005207,13.003019100000529
15.0,3,0.9425899293322193,0.9453584502054948,0.002768520873275504,0.9457721613739136,-0.0004137111684188177,1160,1.7152609000004304,8.63117450000027,0.22203230000013718,10.710845800000243
15.0,4,0.9420368130630926,0.9452452774215325,0.003208464358439911,0.9454100967519183,-0.00016481933038581253,1124,1.7206120999999257,8.80033259999982,0.2137748000004649,10.884629300000597
20.0,0,0.9408706582447172,0.9441365800142794,0.0032659217695621967,0.9445226451913928,-0.00038606517711348154,1661,1.6405030000005354,12.717230399999607,0.4482791000009456,14.937830200000462
20.0,1,0.9417301473655416,0.9447300542161079,0.0029999068505662807,0.9450696193102858,-0.00033956509417787384,1742,1.676026000001002,11.772006799999872,0.26062439999986964,13.842712500001653
20.0,2,0.9431367450896386,0.9460630786044913,0.002926333514852719,0.9464517911811139,-0.0003887125766225408,1754,1.6220711000005394,10.865594300001248,0.2799565999994229,12.90267650000169
20.0,3,0.9425899293322193,0.9452239864049803,0.002634057072760987,0.9457721613739136,-0.0005481749689333348,1194,1.6794621000008192,7.965188300000591,0.19699869999931252,9.972434500001327
20.0,4,0.9420368130630926,0.9451814162029119,0.0031446031398192353,0.9454100967519183,-0.00022868054900648804,1539,1.6831443999999465,10.91547139999966,0.2471945000015694,12.978122500000609
25.0,0,0.9408706582447172,0.9440477049848505,0.0031770467401333047,0.9445226451913928,-0.00047494020654237357,1665,1.7575517000004766,11.221052200000486,0.28147360000002664,13.39130120000118
25.0,1,0.9417301473655416,0.9446993226144433,0.002969175248901723,0.9450696193102858,-0.0003702966958424314,1437,1.763172900000427,9.34257770000113,0.22118020000016259,11.458526000000347
25.0,2,0.9431367450896386,0.9459517611597622,0.002815016070123577,0.9464517911811139,-0.0005000300213516828,1655,1.6251605999987078,10.061934600000313,0.2531915999988996,12.065074500000264
25.0,3,0.9425899293322193,0.945137970310206,0.0025480409779866653,0.9457721613739136,-0.0006341910637076564,1273,1.6343368999987433,7.978231299999607,0.21121499999935622,9.946261799999775
25.0,4,0.9420368130630926,0.9451007378450227,0.003063924781930072,0.9454100967519183,-0.0003093589068956515,1582,1.6648210000003019,9.999224400000458,0.2357176999994408,12.021039199998995
30.0,0,0.9408706582447172,0.9439823878955274,0.003111729650810191,0.9445226451913928,-0.0005402572958654872,1610,1.7722880999990593,10.851254300001528,0.27329549999922165,13.036968599999454
30.0,1,0.9417301473655416,0.9445899142334896,0.002859766867947977,0.9450696193102858,-0.00047970507679617747,1459,1.7638034999999945,9.732340299999123,0.2424111999989691,11.87143549999928
30.0,2,0.9431367450896386,0.9458410554377954,0.0027043103481567687,0.9464517911811139,-0.0006107357433184912,1545,1.7351003000003402,9.929472499999974,0.2611746000002313,12.067996300000232
30.0,3,0.9425899293322193,0.9450249348438454,0.0024350055116261204,0.9457721613739136,-0.0007472265300682013,1192,1.7906566000001476,7.933278800001062,0.22779459999946994,10.0925845999991
30.0,4,0.9420368130630926,0.945003701818766,0.0029668887556734136,0.9454100967519183,-0.0004063949331523098,1633,1.719700900001044,10.48473869999907,0.24815769999986514,12.572897199999716
