max_depth,oof_auc,delta_vs_official_depth6_baseline,mean_fold_auc,fold_auc_std,folds_beating_official_baseline,mean_best_iteration,mean_fit_seconds,rank_corr_vs_official_baseline
4,0.9420654672020792,0.00016620985836501845,0.9420728586190418,0.000860705026439157,5,1990.0,12.10584727999958,0.9986452714124664
5,0.9419956320256422,9.637468192802423e-05,0.9420029002315566,0.0008279811553753384,5,1194.6,9.988508399998683,0.9993990152947778
6,0.9418992573437142,0.0,0.9419070699789358,0.0008180772236697109,0,901.6,8.401128939999762,0.9999999999999998
7,0.9417706889378673,-0.0001285684058468517,0.9417813995214488,0.0008031371453819966,0,654.2,8.259552619999885,0.9993349803108637
8,0.9416515799865242,-0.0002476773571900015,0.9416619353008674,0.0007953897861220252,0,515.6,8.597186879999208,0.9986559926744263
