fold,income_digit_baseline_auc,digit_candidate_auc,delta_vs_income_digits,catboost_auc,delta_vs_catboost,best_iteration_zero_based,te_generation_seconds,fit_seconds,inference_seconds,total_fold_seconds
0,0.9447630702442151,0.9445727063232572,-0.00019036392095794774,0.9445226451913928,5.006113186434291e-05,766,1.5932224999996834,7.780713000000105,0.24551070000234176,9.755899799998588
1,0.9453883829212821,0.9450836111592961,-0.0003047717619860668,0.9450696193102858,1.3991849010297486e-05,552,1.4686265000018466,6.116143900002498,0.23510929999974906,7.96237210000254
2,0.9466384888129359,0.946403045372049,-0.0002354434408868844,0.9464517911811139,-4.8745809064887347e-05,930,1.4941957000010007,9.113975300002494,0.2652245999997831,11.009543100000883
3,0.945950558660991,0.9457690544662012,-0.0001815041947897944,0.9457721613739136,-3.1069077124357136e-06,750,1.5317183999977715,7.669317700001557,0.26381509999919217,9.604312299998128
4,0.9458448786080825,0.945486217445513,-0.00035866116256955127,0.9454100967519183,7.612069359463902e-05,668,1.5451982999984466,7.154589699999633,0.24186420000114595,9.086840899999515
