fold,feature,is_income_digit_feature,is_discrete_cat_copy,is_exact_te_feature,gain_importance
3,Current_Car_Type,False,False,False,0.0008527665049768984
3,Home_Charging_Possible,False,False,False,0.0048904381692409515
3,Subsidy_Available,False,False,False,0.4510572552680969
3,Range_Anxiety_Level,False,False,False,0.03268836811184883
3,FE__income_digit_ones,True,False,False,0.0007427845848724246
3,FE__income_digit_tens,True,False,False,0.0007183966226875782
3,FE__income_digit_hundreds,True,False,False,0.0009134940337389708
3,FE__income_digit_thousands,True,False,False,0.0010344660840928555
3,FE__income_digit_ten_thousands,True,False,False,0.0010627753799781203
3,FE__income_digit_hundred_thousands,True,False,False,0.1101173460483551
3,FE__income_last2,True,False,False,0.0007960768998600543
3,FE__income_last3,True,False,False,0.0009259346988983452
3,FE__Age__cat,False,True,False,0.0020853967871516943
3,FE__Number_of_Cars_Owned__cat,False,True,False,0.0007118757930584252
3,FE__Charging_Stations_Near_Home__cat,False,True,False,0.0011857227655127645
3,FE__Charging_Stations_Near_Work__cat,False,True,False,0.0011820761719718575
3,FE__Environmental_Concern_Level__cat,False,True,False,0.13766303658485413
3,TE__Annual_Income_USD_exact,False,False,True,0.027508456259965897
3,TE__Daily_Commute_km_exact,False,False,True,0.004446061793714762
4,Age,False,False,False,0.0006134113646112382
4,Annual_Income_USD,False,False,False,0.011001674458384514
4,Daily_Commute_km,False,False,False,0.0011859344085678458
4,Number_of_Cars_Owned,False,False,False,0.0010486560640856624
4,Charging_Stations_Near_Home,False,False,False,0.0009851902723312378
4,Charging_Stations_Near_Work,False,False,False,0.0008038363885134459
4,Environmental_Concern_Level,False,False,False,0.22410333156585693
4,Gender,False,False,False,0.000823739159386605
4,City_Type,False,False,False,0.0007211604388430715
4,Current_Car_Type,False,False,False,0.000863004825077951
4,Home_Charging_Possible,False,False,False,0.004385537002235651
4,Subsidy_Available,False,False,False,0.48181140422821045
4,Range_Anxiety_Level,False,False,False,0.03496714308857918
4,FE__income_digit_ones,True,False,False,0.0008175503462553024
4,FE__income_digit_tens,True,False,False,0.0007531685405410826
4,FE__income_digit_hundreds,True,False,False,0.0011492571793496609
4,FE__income_digit_thousands,True,False,False,0.0011599506251513958
4,FE__income_digit_ten_thousands,True,False,False,0.0012324054259806871
4,FE__income_digit_hundred_thousands,True,False,False,0.040921468287706375
4,FE__income_last2,True,False,False,0.0008694749558344483
4,FE__income_last3,True,False,False,0.0011038447264581919
4,FE__Age__cat,False,True,False,0.0023559255059808493
4,FE__Number_of_Cars_Owned__cat,False,True,False,0.000770237878896296
4,FE__Charging_Stations_Near_Home__cat,False,True,False,0.0013508867705240846
4,FE__Charging_Stations_Near_Work__cat,False,True,False,0.0013150806771591306
4,FE__Environmental_Concern_Level__cat,False,True,False,0.146830752491951
4,TE__Annual_Income_USD_exact,False,False,True,0.03138846531510353
4,TE__Daily_Commute_km_exact,False,False,True,0.004667554050683975
