fold,feature,is_source_te,is_hierarchical_income_te,is_exact_te,is_income_digit,is_exact_frequency,gain_importance
2,City_Type,False,False,False,False,False,0.013306710869073868
2,Current_Car_Type,False,False,False,False,False,0.012180530466139317
2,Home_Charging_Possible,False,False,False,False,False,0.027869075536727905
2,Subsidy_Available,False,False,False,False,False,0.010596261359751225
2,Range_Anxiety_Level,False,False,False,False,False,0.020216168835759163
2,FE__income_digit_ones,False,False,False,True,False,0.012033814564347267
2,FE__income_digit_tens,False,False,False,True,False,0.011607673950493336
2,FE__income_digit_hundreds,False,False,False,True,False,0.013972530141472816
2,FE__income_digit_thousands,False,False,False,True,False,0.015061928890645504
2,FE__income_digit_ten_thousands,False,False,False,True,False,0.025370867922902107
2,FE__income_digit_hundred_thousands,False,False,False,True,False,0.18530884385108948
2,FE__income_last2,False,False,False,True,False,0.011284290812909603
2,FE__income_last3,False,False,False,True,False,0.013248991221189499
2,FE__income_exact_frequency_count,False,False,False,False,True,0.01520961057394743
2,FE__income_exact_frequency_log1p,False,False,False,False,True,0.018635908141732216
2,FE__income_exact_frequency_rate,False,False,False,False,True,0.014171629212796688
2,FE__commute_exact_frequency_count,False,False,False,False,True,0.01158791035413742
2,FE__commute_exact_frequency_log1p,False,False,False,False,True,0.010935899801552296
2,FE__commute_exact_frequency_rate,False,False,False,False,True,0.012118244543671608
2,TE__Annual_Income_USD_exact,False,False,True,False,False,0.11341448128223419
2,TE__Daily_Commute_km_exact,False,False,True,False,False,0.03559619560837746
2,HTE__income_1k_bucket,False,True,False,False,False,0.02168251760303974
2,HTE__income_10k_bucket,False,True,False,False,False,0.022899793460965157
2,HTE__income_100k_bucket,False,True,False,False,False,0.012324845418334007
2,SOURCE_TE__income_10k_bucket,True,False,False,False,False,0.0334772914648056
2,SOURCE_TE__environmental_concern,True,False,False,False,False,0.033546268939971924
2,SOURCE_TE__subsidy,True,False,False,False,False,0.013366633094847202
2,SOURCE_TE__range_anxiety,True,False,False,False,False,0.021954460069537163
