outer_fold,feature,segment,train_n,train_positives,selected_source,champion_auc_train4,cat_auc_train4,xgb_auc_train4,lgbm_auc_train4
0,audit_commute_1km,36,10110,1879,CHAMPION,0.9441170463122157,0.9439779998110699,0.9440721415016855,0.9436962213167694
0,audit_commute_1km,49,9578,1438,LGBM,0.942072109092276,0.9415089036438133,0.9418701923569796,0.9421980347397594
0,audit_commute_1km,20,6329,1274,XGB,0.9458825758105114,0.9452898803894989,0.9459397180465429,0.945753384668179
0,audit_commute_1km,42,7612,1467,LGBM,0.9470322689070039,0.9466031372040047,0.9468687584687924,0.9470765298736565
0,audit_commute_1km,32,10613,1880,CHAMPION,0.9471326053536232,0.9469123293645283,0.9471120791519572,0.9468798955295517
0,audit_commute_1km,54,8869,1509,LGBM,0.9484627110525254,0.947941877719192,0.9483550688621891,0.9486123116374219
0,audit_commute_1km,48,11655,1755,CHAMPION,0.9475970819304154,0.947243345132234,0.9475599297821521,0.9473645860312528
0,audit_commute_1km,31,10679,1730,CHAMPION,0.9421842915893983,0.9415830037521549,0.9421640096707289,0.9421129496175179
0,audit_commute_1km,29,8993,1465,LGBM,0.947358666439377,0.9468041496048429,0.9472553887556989,0.9474478896533716
0,audit_commute_1km,13,1017,320,CAT,0.9558151004304161,0.9562096484935438,0.9553488163558107,0.9549184002869441
0,audit_commute_1km,45,10028,1604,CAT,0.952595437451007,0.9526191569390863,0.9524340265196458,0.9524730286108093
0,audit_commute_1km,41,10312,1688,XGB,0.9458461493440546,0.9456382469510854,0.9458602659611884,0.9454940582437197
0,audit_commute_1km,37,10372,1713,CHAMPION,0.9428280453131549,0.9425272268671997,0.9427547621103863,0.9427770100008313
0,audit_commute_1km,11,2655,761,CHAMPION,0.9411767154594286,0.9409075203943015,0.9410317109011512,0.9407153373194554
0,audit_commute_1km,21,8789,1452,CHAMPION,0.9424040797031987,0.9420792984424391,0.9423023274238164,0.942325231073419
0,audit_commute_1km,52,10497,1648,XGB,0.9473729684775967,0.9468672479036082,0.9473929230114313,0.9471256282592406
0,audit_commute_1km,28,9081,1538,CHAMPION,0.9438042867188674,0.943456346595083,0.9437719622926516,0.9436527498087687
