feature,fold,champion_auc,routed_auc,delta,pct_champion,pct_cat,pct_xgb,pct_lgbm
Environmental_Concern_Level,0,0.9450119212188222,0.9450119212188222,0.0,1.0,0.0,0.0,0.0
Environmental_Concern_Level,1,0.945651196785816,0.945651196785816,0.0,1.0,0.0,0.0,0.0
Environmental_Concern_Level,2,0.9469760424369916,0.9469760424369916,0.0,1.0,0.0,0.0,0.0
Environmental_Concern_Level,3,0.9462123944285404,0.9462123944285404,0.0,1.0,0.0,0.0,0.0
Environmental_Concern_Level,4,0.9459699629181807,0.9459699629181807,0.0,1.0,0.0,0.0,0.0
audit_income_10k,0,0.9450119212188222,0.9308029682348955,-0.01420895298392666,0.8608421257281299,0.0103863668653212,0.12877150740654886,0.0
audit_income_10k,1,0.945651196785816,0.9340139613955349,-0.011637235390281053,0.8762085648269313,0.010700425474639768,0.11309100969842896,0.0
audit_income_10k,2,0.9469760424369916,0.9263108368896018,-0.02066520554738982,0.8189452117278457,0.0,0.16236082343176328,0.018693964840390927
audit_income_10k,3,0.9462123944285404,0.9271440748596107,-0.019068319568929737,0.8176441117749546,0.007103706639348553,0.15622920296411508,0.01902297862158181
audit_income_10k,4,0.9459699629181807,0.9331794185204079,-0.01279054439777283,0.8149895687676191,0.09945937053681589,0.06352957011358452,0.022021490581980514
audit_income_100k,0,0.9450119212188222,0.9450119212188222,0.0,1.0,0.0,0.0,0.0
audit_income_100k,1,0.945651196785816,0.945651196785816,0.0,1.0,0.0,0.0,0.0
audit_income_100k,2,0.9469760424369916,0.9469760424369916,0.0,1.0,0.0,0.0,0.0
audit_income_100k,3,0.9462123944285404,0.9462123944285404,0.0,1.0,0.0,0.0,0.0
audit_income_100k,4,0.9459699629181807,0.9459699629181807,0.0,1.0,0.0,0.0,0.0
audit_commute_1km,0,0.9450119212188222,0.9022660576138395,-0.04274586360498267,0.6162652449283273,0.05767462032557409,0.20200698406526438,0.1240531506808342
audit_commute_1km,1,0.945651196785816,0.9042338401810831,-0.04141735660473289,0.6106720106480824,0.06712628894887575,0.19440227916819333,0.12779942123484855
audit_commute_1km,2,0.9469760424369916,0.8969932405356291,-0.049982801901362506,0.46198021430761294,0.02794373864341636,0.35098292867130776,0.15909311837766296
audit_commute_1km,3,0.9462123944285404,0.9005868984162226,-0.0456254960123178,0.3259330157851839,0.06262478221530961,0.43924835306169757,0.17219384893780892
audit_commute_1km,4,0.9459699629181807,0.8965323993673815,-0.0494375635507992,0.41170840405883363,0.0719493318776966,0.37588328983870845,0.14045897422476128
audit_commute_5km,0,0.9450119212188222,0.9450119212188222,0.0,1.0,0.0,0.0,0.0
audit_commute_5km,1,0.945651196785816,0.9456422232357106,-8.973550105428885e-06,0.9835866988701367,0.016413301129863236,0.0,0.0
audit_commute_5km,2,0.9469760424369916,0.9118538693065964,-0.03512217313039523,0.7833743354295499,0.0,0.21662566457045007,0.0
audit_commute_5km,3,0.9462123944285404,0.9122898455155725,-0.033922548912967976,0.7506075538573127,0.030112238564901708,0.21928020757778557,0.0
audit_commute_5km,4,0.9459699629181807,0.9115006250130888,-0.03446933790509188,0.7509440452244397,0.030792698885091938,0.21826325589046833,0.0
audit_commute_10km,0,0.9450119212188222,0.9450119212188222,0.0,1.0,0.0,0.0,0.0
audit_commute_10km,1,0.945651196785816,0.945651196785816,0.0,1.0,0.0,0.0,0.0
audit_commute_10km,2,0.9469760424369916,0.9118538693065964,-0.03512217313039523,0.7833743354295499,0.0,0.21662566457045007,0.0
audit_commute_10km,3,0.9462123944285404,0.9122704947889733,-0.033941899639567175,0.7380975525861231,0.042622239836091314,0.21928020757778557,0.0
audit_commute_10km,4,0.9459699629181807,0.9114871603240238,-0.034482802594156925,0.7817367441095316,0.0,0.21826325589046833,0.0
Subsidy_Available,0,0.9450119212188222,0.9450119212188222,0.0,1.0,0.0,0.0,0.0
Subsidy_Available,1,0.945651196785816,0.945651196785816,0.0,1.0,0.0,0.0,0.0
Subsidy_Available,2,0.9469760424369916,0.9469760424369916,0.0,1.0,0.0,0.0,0.0
Subsidy_Available,3,0.9462123944285404,0.9462123944285404,0.0,1.0,0.0,0.0,0.0
Subsidy_Available,4,0.9459699629181807,0.9459699629181807,0.0,1.0,0.0,0.0,0.0
Range_Anxiety_Level,0,0.9450119212188222,0.9450119212188222,0.0,1.0,0.0,0.0,0.0
Range_Anxiety_Level,1,0.945651196785816,0.9376800764214503,-0.007971120364365647,0.9061936844309183,0.0,0.09380631556908167,0.0
Range_Anxiety_Level,2,0.9469760424369916,0.9469760424369916,0.0,1.0,0.0,0.0,0.0
Range_Anxiety_Level,3,0.9462123944285404,0.9462123944285404,0.0,1.0,0.0,0.0,0.0
Range_Anxiety_Level,4,0.9459699629181807,0.9459699629181807,0.0,1.0,0.0,0.0,0.0
Current_Car_Type,0,0.9450119212188222,0.9450119212188222,0.0,1.0,0.0,0.0,0.0
Current_Car_Type,1,0.945651196785816,0.945651196785816,0.0,1.0,0.0,0.0,0.0
Current_Car_Type,2,0.9469760424369916,0.9469760424369916,0.0,1.0,0.0,0.0,0.0
Current_Car_Type,3,0.9462123944285404,0.9462123944285404,0.0,1.0,0.0,0.0,0.0
Current_Car_Type,4,0.9459699629181807,0.9459699629181807,0.0,1.0,0.0,0.0,0.0
City_Type,0,0.9450119212188222,0.9450119212188222,0.0,1.0,0.0,0.0,0.0
City_Type,1,0.945651196785816,0.945651196785816,0.0,1.0,0.0,0.0,0.0
