fold,baseline_auc,candidate_auc,delta_vs_baseline,best_iteration,fit_seconds,total_fold_seconds
0,0.9448567104328541,0.9449823371987952,0.00012562676594107813,632,13.126040599999897,21.27771830000006
1,0.9454822526906932,0.9456581813641635,0.0001759286734702714,828,18.83329569999978,27.206782500000145
2,0.9467524583493101,0.9468845415901601,0.00013208324085001166,730,15.298988200000167,23.63260480000008
3,0.9460269303277161,0.9463109970003737,0.000284066672657568,457,11.13485750000018,19.35505460000013
4,0.9458018797733878,0.9459415975237759,0.00013971775038812417,590,14.469620599999871,22.62296830000014
