rho,auc_i,auc_j,best,gain
0.9994221948806925,0.9461125311063966,0.9459544611490556,0.9461125311063966,-5.108595278902062e-05
0.9994358953083491,0.9461125311063966,0.945964411435839,0.9461125311063966,-4.745600342703771e-05
0.9972438600827908,0.9461125311063966,0.9457853580979046,0.9461125311063966,-5.696340304395253e-05
0.9963016663123082,0.9461125311063966,0.945466757117106,0.9461125311063966,-0.00017662716003363776
0.9964916849511998,0.9461125311063966,0.945524237986018,0.9461125311063966,-0.0001547798674584877
0.9967400355952473,0.9461125311063966,0.9455844549615258,0.9461125311063966,-0.00013657127539190572
0.9966041869057116,0.9461125311063966,0.9455357166047518,0.9461125311063966,-0.00015670235789244646
0.9961028564211609,0.9461125311063966,0.9454395562017931,0.9461125311063966,-0.00019013032712478228
0.9957956397955986,0.9461125311063966,0.945364281714305,0.9461125311063966,-0.0002146219866571153
0.9955969597929193,0.9461125311063966,0.945386420672987,0.9461125311063966,-0.00020146799653442127
0.9957661540779386,0.9461125311063966,0.9454062897796639,0.9461125311063966,-0.00019425178372201035
0.996085096217663,0.9461125311063966,0.9454383654251644,0.9461125311063966,-0.00019046472489536725
0.9988947233163986,0.9461125311063966,0.9457804192236725,0.9461125311063966,-0.00010121471785218272
0.9987691091714702,0.9461125311063966,0.9459534414232132,0.9461125311063966,-2.293452172386079e-05
0.9976389996750549,0.9461125311063966,0.9457341767979565,0.9461125311063966,-3.840405135513425e-05
0.9988750688400951,0.9461125311063966,0.945952066453561,0.9461125311063966,-2.5912433059716022e-05
0.9963001630932404,0.9461125311063966,0.9454751944950602,0.9461125311063966,-0.00015554079830204515
0.9989911754837768,0.9461125311063966,0.9460640097516881,0.9461125311063966,9.656130323998369e-06
0.9978779010171303,0.9461125311063966,0.9458090684537995,0.9461125311063966,-3.364141808404053e-05
0.9991982535289944,0.9461125311063966,0.9460666448554633,0.9461125311063966,2.2912643855566017e-06
0.9990921980009815,0.9461125311063966,0.9460745602057812,0.9461125311063966,1.1482218495895147e-05
0.9991633736410183,0.9461125311063966,0.945911780075502,0.9461125311063966,-5.7705233423299696e-05
0.9990666981279828,0.9461125311063966,0.945873656603916,0.9461125311063966,-6.840441046518375e-05
0.9989612119595277,0.9461125311063966,0.945830753501042,0.9461125311063966,-8.135320636382115e-05
0.9976299062019209,0.9461125311063966,0.9457113005163567,0.9461125311063966,-0.0001035253464777286
0.9974862260161038,0.9461125311063966,0.9457495166507963,0.9461125311063966,-9.471922560455592e-05
0.9976961333902672,0.9461125311063966,0.9458064407978091,0.9461125311063966,-8.352934817068558e-05
0.9970646490526273,0.9459544611490556,0.9457853580979046,0.9459544611490556,6.053456145638236e-05
0.9970091282030382,0.9459544611490556,0.945466757117106,0.9459544611490556,-0.0001228232856564926
0.9970618243990638,0.9459544611490556,0.945524237986018,0.9459544611490556,-9.276018671910968e-05
0.9973008812816577,0.9459544611490556,0.9455844549615258,0.9459544611490556,-7.468951831390847e-05
0.9973025482632216,0.9459544611490556,0.9455357166047518,0.9459544611490556,-0.00010278237565652937
0.9967891112609116,0.9459544611490556,0.9454395562017931,0.9459544611490556,-0.00013690250785436398
0.996505023389818,0.9459544611490556,0.945364281714305,0.9459544611490556,-0.00016183363322719302
0.9962827817768882,0.9459544611490556,0.945386420672987,0.9459544611490556,-0.00014835688249736911
0.99642963859664,0.9459544611490556,0.9454062897796639,0.9459544611490556,-0.0001408491587405747
0.996774499343624,0.9459544611490556,0.9454383654251644,0.9459544611490556,-0.00013732350939543725
0.9992893472883786,0.9459544611490556,0.9457804192236725,0.9459544611490556,-4.236870881213495e-05
0.9974076328979503,0.9459544611490556,0.9459534414232132,0.9459544611490556,0.00010809326672989172
0.9965572216505086,0.9459544611490556,0.9457341767979565,0.9459544611490556,7.985980142055649e-05
0.9975683624350679,0.9459544611490556,0.945952066453561,0.9459544611490556,0.00010408988855103996
0.9969901195327947,0.9459544611490556,0.9454751944950602,0.9459544611490556,-0.00010496805217918848
0.9975250857110425,0.9459544611490556,0.9460640097516881,0.9460640097516881,3.41553074640899e-05
0.9965691020633515,0.9459544611490556,0.9458090684537995,0.9459544611490556,9.271469316829428e-05
0.9976938324497826,0.9459544611490556,0.9460666448554633,0.9460666448554633,2.9378725112882975e-05
0.9976250723102931,0.9459544611490556,0.9460745602057812,0.9460745602057812,2.680711370195432e-05
0.9997619168626027,0.9459544611490556,0.945911780075502,0.9459544611490556,-1.0519801804553808e-05
0.9995834642699174,0.9459544611490556,0.945873656603916,0.9459544611490556,-1.7521130514785987e-05
0.9994634895355368,0.9459544611490556,0.945830753501042,0.9459544611490556,-2.8640347092268037e-05
0.998081295194624,0.9459544611490556,0.9457113005163567,0.9459544611490556,-4.8278797431633436e-05
0.9980262529348496,0.9459544611490556,0.9457495166507963,0.9459544611490556,-4.034579741563071e-05
0.9982532901404377,0.9459544611490556,0.9458064407978091,0.9459544611490556,-3.018624340089815e-05
0.9972866290841067,0.945964411435839,0.9457853580979046,0.945964411435839,4.637914687033451e-05
0.9971554553762382,0.945964411435839,0.945466757117106,0.945964411435839,-0.00013180311834748437
0.9973607109860781,0.945964411435839,0.945524237986018,0.945964411435839,-0.00011090928184787074
0.997603773746951,0.945964411435839,0.9455844549615258,0.945964411435839,-9.292444140207579e-05
0.9974537101033631,0.945964411435839,0.9455357166047518,0.945964411435839,-0.00011189667189204222
0.99697702365618,0.945964411435839,0.9454395562017931,0.945964411435839,-0.00014725827996098229
0.9966900316105998,0.945964411435839,0.945364281714305,0.945964411435839,-0.00017214004048637932
0.9964752525259247,0.945964411435839,0.945386420672987,0.945964411435839,-0.0001589573143281342
0.9966149198162217,0.945964411435839,0.9454062897796639,0.945964411435839,-0.00015110601495782472
0.9969627860432938,0.945964411435839,0.9454383654251644,0.945964411435839,-0.00014770509273054344
0.9992749018635806,0.945964411435839,0.9457804192236725,0.945964411435839,-4.647688352699131e-05
0.9973181384803023,0.945964411435839,0.9459534414232132,0.945964411435839,0.00010568264383792325
0.9964823812818598,0.945964411435839,0.9457341767979565,0.945964411435839,7.633730962586238e-05
0.9974842476489855,0.945964411435839,0.945952066453561,0.945964411435839,0.00010163095591453342
0.9970270990364207,0.945964411435839,0.9454751944950602,0.945964411435839,-0.00011018987240341005
0.9974323943798198,0.945964411435839,0.9460640097516881,0.9460640097516881,4.0471432232402904e-05
0.996507310058636,0.945964411435839,0.9458090684537995,0.945964411435839,8.73457869560168e-05
0.9975979997228758,0.945964411435839,0.9460666448554633,0.9460666448554633,3.658361108627162e-05
0.9975295638355213,0.945964411435839,0.9460745602057812,0.9460745602057812,3.3766944287250134e-05
0.99968612297543,0.945964411435839,0.945911780075502,0.945964411435839,-1.2706502397596964e-05
0.9994877728395417,0.945964411435839,0.945873656603916,0.945964411435839,-1.7615825992800538e-05
0.9994000077975959,0.945964411435839,0.945830753501042,0.945964411435839,-2.9749950627100397e-05
0.9980489156587573,0.945964411435839,0.9457113005163567,0.945964411435839,-5.075271097654266e-05
0.9979953947219637,0.945964411435839,0.9457495166507963,0.945964411435839,-4.222395801511958e-05
0.9982191971737101,0.945964411435839,0.9458064407978091,0.945964411435839,-3.1920661757500746e-05
0.9982031731448199,0.9457853580979046,0.945466757117106,0.9457853580979046,-3.9556324489153916e-05
0.9984740610911162,0.9457853580979046,0.945524237986018,0.9457853580979046,-2.8509366938545e-05
0.9987337320639724,0.9457853580979046,0.9455844549615258,0.9457853580979046,-9.724882685469005e-06
0.9985197788728172,0.9457853580979046,0.9455357166047518,0.9457853580979046,-1.8815827013241027e-05
0.9978965667478501,0.9457853580979046,0.9454395562017931,0.9457853580979046,-2.908694263481504e-05
0.9975764905862894,0.9457853580979046,0.945364281714305,0.9457853580979046,-5.374794616974654e-05
0.9974561343007412,0.9457853580979046,0.945386420672987,0.9457853580979046,-4.122137759343669e-05
0.9974975405590445,0.9457853580979046,0.9454062897796639,0.9457853580979046,-3.275692383908346e-05
0.997891836650099,0.9457853580979046,0.9454383654251644,0.9457853580979046,-2.9633540202023134e-05
0.9956251186743835,0.9457853580979046,0.9457804192236725,0.9457853580979046,0.00022451459965855403
0.9946195218566429,0.9457853580979046,0.9459534414232132,0.9459534414232132,8.944658200826794e-05
0.9940974818746529,0.9457853580979046,0.9457341767979565,0.9457853580979046,0.0002024677452464596
0.9948275574177896,0.9457853580979046,0.945952066453561,0.945952066453561,9.06485691047898e-05
0.9950157096261645,0.9457853580979046,0.9454751944950602,0.9457853580979046,0.00010622448568420317
0.9946598554814179,0.9457853580979046,0.9460640097516881,0.9460640097516881,1.0085215814692461e-05
0.9941565040056757,0.9457853580979046,0.9458090684537995,0.9458090684537995,0.00018163872774701328
0.9948578797601468,0.9457853580979046,0.9460666448554633,0.9460666448554633,1.0459676459850797e-05
0.9948133740321569,0.9457853580979046,0.9460745602057812,0.9460745602057812,7.264902704307019e-06
0.9959525324270728,0.9457853580979046,0.945911780075502,0.945911780075502,0.00011815620901378665
0.9957880672211727,0.9457853580979046,0.945873656603916,0.945873656603916,0.00015113754391260503
0.995782324450952,0.9457853580979046,0.945830753501042,0.945830753501042,0.00018935713071088767
0.9952857942434267,0.9457853580979046,0.9457113005163567,0.9457853580979046,0.00019108054806904473
