our,theirs,rho,alpha,auc
OURS_BLEND,xgboost_fine_income_triple_categorical_te_gpu::oof_prediction,0.997080296584415,0.5,0.9463383997288128
OURS_BLEND,xgboost_fine_income_triple_categorical_te_gpu::oof_prediction,0.997080296584415,0.6,0.9463562498419384
OURS_BLEND,xgboost_fine_income_triple_categorical_te_gpu::oof_prediction,0.997080296584415,0.7,0.9463623396937006
lgbm_ref,xgboost_hierarchical_commute_te_gpu::oof_prediction,0.9955802713833642,0.5,0.946306786257138
lgbm_ref,xgboost_hierarchical_commute_te_gpu::oof_prediction,0.9955802713833642,0.6,0.9463336236197067
lgbm_ref,xgboost_hierarchical_commute_te_gpu::oof_prediction,0.9955802713833642,0.7,0.9463433657253942
xgb_ref,xgboost_hierarchical_commute_te_gpu::oof_prediction,0.9954583691783099,0.5,0.9463072594940268
xgb_ref,xgboost_hierarchical_commute_te_gpu::oof_prediction,0.9954583691783099,0.6,0.9463345914205258
xgb_ref,xgboost_hierarchical_commute_te_gpu::oof_prediction,0.9954583691783099,0.7,0.946345373780012
cat_ref,xgboost_hierarchical_commute_te_gpu::oof_prediction,0.9892927073984207,0.5,0.946246007144571
cat_ref,xgboost_hierarchical_commute_te_gpu::oof_prediction,0.9892927073984207,0.6,0.9462597057229105
cat_ref,xgboost_hierarchical_commute_te_gpu::oof_prediction,0.9892927073984207,0.7,0.946255822835922
lr,xgboost_hierarchical_commute_te_gpu::oof_prediction,0.9922411635204151,0.5,0.9459393440470403
lr,xgboost_hierarchical_commute_te_gpu::oof_prediction,0.9922411635204151,0.6,0.9458433163155032
lr,xgboost_hierarchical_commute_te_gpu::oof_prediction,0.9922411635204151,0.7,0.9457103399460951
OURS_BLEND,xgboost_hierarchical_commute_te_gpu::oof_prediction,0.9961572504850462,0.5,0.9463085163076793
OURS_BLEND,xgboost_hierarchical_commute_te_gpu::oof_prediction,0.9961572504850462,0.6,0.9463399966734787
OURS_BLEND,xgboost_hierarchical_commute_te_gpu::oof_prediction,0.9961572504850462,0.7,0.946355831524703
lgbm_ref,xgboost_hierarchical_income_te_gpu::oof_prediction,0.9955468022374175,0.5,0.946294425735368
lgbm_ref,xgboost_hierarchical_income_te_gpu::oof_prediction,0.9955468022374175,0.6,0.9463247137729167
lgbm_ref,xgboost_hierarchical_income_te_gpu::oof_prediction,0.9955468022374175,0.7,0.9463377003818383
xgb_ref,xgboost_hierarchical_income_te_gpu::oof_prediction,0.9954096516449007,0.5,0.9462946309063177
xgb_ref,xgboost_hierarchical_income_te_gpu::oof_prediction,0.9954096516449007,0.6,0.9463253937866836
xgb_ref,xgboost_hierarchical_income_te_gpu::oof_prediction,0.9954096516449007,0.7,0.9463392224607525
cat_ref,xgboost_hierarchical_income_te_gpu::oof_prediction,0.9892723670369032,0.5,0.9462328594074841
cat_ref,xgboost_hierarchical_income_te_gpu::oof_prediction,0.9892723670369032,0.6,0.9462502752139115
cat_ref,xgboost_hierarchical_income_te_gpu::oof_prediction,0.9892723670369032,0.7,0.9462494898993316
lr,xgboost_hierarchical_income_te_gpu::oof_prediction,0.9920816221544021,0.5,0.9459302858341743
lr,xgboost_hierarchical_income_te_gpu::oof_prediction,0.9920816221544021,0.6,0.9458381979884525
lr,xgboost_hierarchical_income_te_gpu::oof_prediction,0.9920816221544021,0.7,0.9457080930503344
OURS_BLEND,xgboost_hierarchical_income_te_gpu::oof_prediction,0.9961146243663197,0.5,0.9462959120261256
OURS_BLEND,xgboost_hierarchical_income_te_gpu::oof_prediction,0.9961146243663197,0.6,0.9463309732712477
OURS_BLEND,xgboost_hierarchical_income_te_gpu::oof_prediction,0.9961146243663197,0.7,0.9463498407284762
lgbm_ref,xgboost_m2_exact_frequency_learned_logistic_margin_gpu::oof_prediction,0.9952731662029825,0.5,0.9462834609284332
lgbm_ref,xgboost_m2_exact_frequency_learned_logistic_margin_gpu::oof_prediction,0.9952731662029825,0.6,0.9463174598712111
lgbm_ref,xgboost_m2_exact_frequency_learned_logistic_margin_gpu::oof_prediction,0.9952731662029825,0.7,0.9463332579102083
xgb_ref,xgboost_m2_exact_frequency_learned_logistic_margin_gpu::oof_prediction,0.9952149172361311,0.5,0.9462830731781471
xgb_ref,xgboost_m2_exact_frequency_learned_logistic_margin_gpu::oof_prediction,0.9952149172361311,0.6,0.9463176903335958
xgb_ref,xgboost_m2_exact_frequency_learned_logistic_margin_gpu::oof_prediction,0.9952149172361311,0.7,0.946334378406128
cat_ref,xgboost_m2_exact_frequency_learned_logistic_margin_gpu::oof_prediction,0.9889420490812328,0.5,0.9462195952987628
cat_ref,xgboost_m2_exact_frequency_learned_logistic_margin_gpu::oof_prediction,0.9889420490812328,0.6,0.9462406526606834
cat_ref,xgboost_m2_exact_frequency_learned_logistic_margin_gpu::oof_prediction,0.9889420490812328,0.7,0.9462429320551623
lr,xgboost_m2_exact_frequency_learned_logistic_margin_gpu::oof_prediction,0.9920855876167117,0.5,0.9459182588102344
lr,xgboost_m2_exact_frequency_learned_logistic_margin_gpu::oof_prediction,0.9920855876167117,0.6,0.9458287369900852
lr,xgboost_m2_exact_frequency_learned_logistic_margin_gpu::oof_prediction,0.9920855876167117,0.7,0.9457008556656428
OURS_BLEND,xgboost_m2_exact_frequency_learned_logistic_margin_gpu::oof_prediction,0.9958718676729439,0.5,0.9462845096851193
OURS_BLEND,xgboost_m2_exact_frequency_learned_logistic_margin_gpu::oof_prediction,0.9958718676729439,0.6,0.9463232664511403
OURS_BLEND,xgboost_m2_exact_frequency_learned_logistic_margin_gpu::oof_prediction,0.9958718676729439,0.7,0.9463452947481561
lgbm_ref,xgboost_m2_income_digits_recipe_base_margin_gpu::oof_prediction,0.9945887470911868,0.5,0.9462545501259043
lgbm_ref,xgboost_m2_income_digits_recipe_base_margin_gpu::oof_prediction,0.9945887470911868,0.6,0.9462959060058328
lgbm_ref,xgboost_m2_income_digits_recipe_base_margin_gpu::oof_prediction,0.9945887470911868,0.7,0.946318197341533
xgb_ref,xgboost_m2_income_digits_recipe_base_margin_gpu::oof_prediction,0.9943482808499738,0.5,0.9462544567880954
xgb_ref,xgboost_m2_income_digits_recipe_base_margin_gpu::oof_prediction,0.9943482808499738,0.6,0.9462966223275499
xgb_ref,xgboost_m2_income_digits_recipe_base_margin_gpu::oof_prediction,0.9943482808499738,0.7,0.9463199716132953
cat_ref,xgboost_m2_income_digits_recipe_base_margin_gpu::oof_prediction,0.9855269019262708,0.5,0.9462000845003484
cat_ref,xgboost_m2_income_digits_recipe_base_margin_gpu::oof_prediction,0.9855269019262708,0.6,0.9462285940534816
cat_ref,xgboost_m2_income_digits_recipe_base_margin_gpu::oof_prediction,0.9855269019262708,0.7,0.9462367062735727
lr,xgboost_m2_income_digits_recipe_base_margin_gpu::oof_prediction,0.9920063148204686,0.5,0.945864708028646
lr,xgboost_m2_income_digits_recipe_base_margin_gpu::oof_prediction,0.9920063148204686,0.6,0.945783583585641
lr,xgboost_m2_income_digits_recipe_base_margin_gpu::oof_prediction,0.9920063148204686,0.7,0.9456651795981432
OURS_BLEND,xgboost_m2_income_digits_recipe_base_margin_gpu::oof_prediction,0.9946027572352438,0.5,0.9462566350944144
OURS_BLEND,xgboost_m2_income_digits_recipe_base_margin_gpu::oof_prediction,0.9946027572352438,0.6,0.9463029937055703
OURS_BLEND,xgboost_m2_income_digits_recipe_base_margin_gpu::oof_prediction,0.9946027572352438,0.7,0.9463314374776977
lgbm_ref,xgboost_m2_income_digits_recipe_margin_exact_frequency_gpu::oof_prediction,0.9946483834993883,0.5,0.9462741902364789
lgbm_ref,xgboost_m2_income_digits_recipe_margin_exact_frequency_gpu::oof_prediction,0.9946483834993883,0.6,0.9463104372232173
lgbm_ref,xgboost_m2_income_digits_recipe_margin_exact_frequency_gpu::oof_prediction,0.9946483834993883,0.7,0.9463282532782443
xgb_ref,xgboost_m2_income_digits_recipe_margin_exact_frequency_gpu::oof_prediction,0.9943661430285504,0.5,0.9462742446208227
xgb_ref,xgboost_m2_income_digits_recipe_margin_exact_frequency_gpu::oof_prediction,0.9943661430285504,0.6,0.9463112231351717
xgb_ref,xgboost_m2_income_digits_recipe_margin_exact_frequency_gpu::oof_prediction,0.9943661430285504,0.7,0.9463301567457951
cat_ref,xgboost_m2_income_digits_recipe_margin_exact_frequency_gpu::oof_prediction,0.9855265992033374,0.5,0.946220866914887
cat_ref,xgboost_m2_income_digits_recipe_margin_exact_frequency_gpu::oof_prediction,0.9855265992033374,0.6,0.9462440002691858
cat_ref,xgboost_m2_income_digits_recipe_margin_exact_frequency_gpu::oof_prediction,0.9855265992033374,0.7,0.9462474585471126
lr,xgboost_m2_income_digits_recipe_margin_exact_frequency_gpu::oof_prediction,0.992042762201651,0.5,0.9459047719429303
lr,xgboost_m2_income_digits_recipe_margin_exact_frequency_gpu::oof_prediction,0.992042762201651,0.6,0.9458178073351423
lr,xgboost_m2_income_digits_recipe_margin_exact_frequency_gpu::oof_prediction,0.992042762201651,0.7,0.9456924643243073
OURS_BLEND,xgboost_m2_income_digits_recipe_margin_exact_frequency_gpu::oof_prediction,0.9946330799794028,0.5,0.9462773334420844
OURS_BLEND,xgboost_m2_income_digits_recipe_margin_exact_frequency_gpu::oof_prediction,0.9946330799794028,0.6,0.9463183962827211
OURS_BLEND,xgboost_m2_income_digits_recipe_margin_exact_frequency_gpu::oof_prediction,0.9946330799794028,0.7,0.9463423343623885
lgbm_ref,xgboost_m2_income_digit_decomposition_gpu::oof_prediction,0.9947466572504875,0.5,0.9462332721854297
lgbm_ref,xgboost_m2_income_digit_decomposition_gpu::oof_prediction,0.9947466572504875,0.6,0.946278454271603
lgbm_ref,xgboost_m2_income_digit_decomposition_gpu::oof_prediction,0.9947466572504875,0.7,0.9463049945451469
xgb_ref,xgboost_m2_income_digit_decomposition_gpu::oof_prediction,0.99499297259013,0.5,0.9462322334599784
xgb_ref,xgboost_m2_income_digit_decomposition_gpu::oof_prediction,0.99499297259013,0.6,0.9462780087777117
xgb_ref,xgboost_m2_income_digit_decomposition_gpu::oof_prediction,0.99499297259013,0.7,0.9463054807923843
cat_ref,xgboost_m2_income_digit_decomposition_gpu::oof_prediction,0.9883439377965065,0.5,0.94616522615305
cat_ref,xgboost_m2_income_digit_decomposition_gpu::oof_prediction,0.9883439377965065,0.6,0.9461978398699558
cat_ref,xgboost_m2_income_digit_decomposition_gpu::oof_prediction,0.9883439377965065,0.7,0.9462112817479861
lr,xgboost_m2_income_digit_decomposition_gpu::oof_prediction,0.9912718528980862,0.5,0.9458422060835618
lr,xgboost_m2_income_digit_decomposition_gpu::oof_prediction,0.9912718528980862,0.6,0.945765067454377
lr,xgboost_m2_income_digit_decomposition_gpu::oof_prediction,0.9912718528980862,0.7,0.9456505057168932
OURS_BLEND,xgboost_m2_income_digit_decomposition_gpu::oof_prediction,0.9954368311851058,0.5,0.94623252576225
OURS_BLEND,xgboost_m2_income_digit_decomposition_gpu::oof_prediction,0.9954368311851058,0.6,0.946282596000139
OURS_BLEND,xgboost_m2_income_digit_decomposition_gpu::oof_prediction,0.9954368311851058,0.7,0.9463153566478704
