fold,feature,is_income_digit_feature,is_exact_frequency_feature,is_exact_te_feature,gain_importance
3,Current_Car_Type,False,False,False,0.012875845655798912
3,Home_Charging_Possible,False,False,False,0.034835685044527054
3,Subsidy_Available,False,False,False,0.01726880669593811
3,Range_Anxiety_Level,False,False,False,0.02433498203754425
3,FE__income_digit_ones,True,False,False,0.011600661091506481
3,FE__income_digit_tens,True,False,False,0.012708434835076332
3,FE__income_digit_hundreds,True,False,False,0.01444143895059824
3,FE__income_digit_thousands,True,False,False,0.017477840185165405
3,FE__income_digit_ten_thousands,True,False,False,0.034200042486190796
3,FE__income_digit_hundred_thousands,True,False,False,0.3273932635784149
3,FE__income_last2,True,False,False,0.012203263118863106
3,FE__income_last3,True,False,False,0.013819926418364048
3,FE__income_exact_frequency_count,False,True,False,0.01647917740046978
3,FE__income_exact_frequency_log1p,False,True,False,0.014971249736845493
3,FE__income_exact_frequency_rate,False,True,False,0.011385846883058548
3,FE__commute_exact_frequency_count,False,True,False,0.012020313180983067
3,FE__commute_exact_frequency_log1p,False,True,False,0.011301660910248756
3,FE__commute_exact_frequency_rate,False,True,False,0.018392113968729973
3,TE__Annual_Income_USD_exact,False,False,True,0.12074760347604752
3,TE__Daily_Commute_km_exact,False,False,True,0.03578377142548561
4,Age,False,False,False,0.021971730515360832
4,Annual_Income_USD,False,False,False,0.05286294221878052
4,Daily_Commute_km,False,False,False,0.01387965027242899
4,Number_of_Cars_Owned,False,False,False,0.012605472467839718
4,Charging_Stations_Near_Home,False,False,False,0.015616188757121563
4,Charging_Stations_Near_Work,False,False,False,0.013432979583740234
4,Environmental_Concern_Level,False,False,False,0.07201651483774185
4,Gender,False,False,False,0.010888096876442432
4,City_Type,False,False,False,0.01363912969827652
4,Current_Car_Type,False,False,False,0.012423810549080372
4,Home_Charging_Possible,False,False,False,0.03602713719010353
4,Subsidy_Available,False,False,False,0.014158631674945354
4,Range_Anxiety_Level,False,False,False,0.023406364023685455
4,FE__income_digit_ones,True,False,False,0.01254055555909872
4,FE__income_digit_tens,True,False,False,0.012052394449710846
4,FE__income_digit_hundreds,True,False,False,0.016556844115257263
4,FE__income_digit_thousands,True,False,False,0.01683153584599495
4,FE__income_digit_ten_thousands,True,False,False,0.03350196033716202
