fold,learned_margin_baseline_auc,digit_candidate_auc,delta_vs_learned_margin,catboost_auc,delta_vs_catboost,best_iteration_zero_based,te_generation_seconds,fit_seconds,inference_seconds,total_fold_seconds
0,0.9449139511126398,0.9449094848426488,-4.466269990954785e-06,0.9445226451913928,0.00038683965125596576,1177,1.4629282999994757,10.226532200002111,0.2409762999996019,15.227687099999457
1,0.945509644061093,0.9455142511829986,4.607121905642053e-06,0.9450696193102858,0.00044463187271281956,1605,1.4636212999976124,13.096441200003028,0.31532830000287504,17.764451499999268
2,0.9468314539847251,0.9468222123937644,-9.241590960717971e-06,0.9464517911811139,0.00037042121265051797,1258,1.4825063999996928,10.855798399999912,0.2621982999989996,15.473597100000916
3,0.9460558259852887,0.9460391432543506,-1.668273093813344e-05,0.9457721613739136,0.00026698188043694504,1109,1.490984899999603,10.012182999998913,0.2684043999979622,14.893024299999524
4,0.9458602948362825,0.9458554022178947,-4.892618387875025e-06,0.9454100967519183,0.00044530546597632004,1141,1.5142855999984022,10.977441799997905,0.2666148999996949,15.689800399999513
