fold,feature,is_income_digit_feature,is_exact_frequency_feature,is_income_subsidy_interaction_te,is_exact_te_feature,gain_importance
2,TE__Annual_Income_USD_exact,False,False,False,True,0.0904342457652092
2,TE__Daily_Commute_km_exact,False,False,False,True,0.038254886865615845
2,TE__Annual_Income_USD_exact_x_Subsidy_Available,False,False,True,True,0.09932198375463486
3,Age,False,False,False,False,0.02045384608209133
3,Annual_Income_USD,False,False,False,False,0.03869334235787392
3,Daily_Commute_km,False,False,False,False,0.013280862011015415
3,Number_of_Cars_Owned,False,False,False,False,0.011487829498946667
3,Charging_Stations_Near_Home,False,False,False,False,0.014514888636767864
3,Charging_Stations_Near_Work,False,False,False,False,0.01191867608577013
3,Environmental_Concern_Level,False,False,False,False,0.22440429031848907
3,Gender,False,False,False,False,0.010400932282209396
3,City_Type,False,False,False,False,0.011638996191322803
3,Current_Car_Type,False,False,False,False,0.011716959998011589
3,Home_Charging_Possible,False,False,False,False,0.03622002527117729
3,Subsidy_Available,False,False,False,False,0.040328510105609894
3,Range_Anxiety_Level,False,False,False,False,0.016418995335698128
3,FE__income_digit_ones,True,False,False,False,0.010580656118690968
3,FE__income_digit_tens,True,False,False,False,0.01149110309779644
3,FE__income_digit_hundreds,True,False,False,False,0.014366631396114826
3,FE__income_digit_thousands,True,False,False,False,0.014406546950340271
3,FE__income_digit_ten_thousands,True,False,False,False,0.021702349185943604
3,FE__income_digit_hundred_thousands,True,False,False,False,0.13731731474399567
3,FE__income_last2,True,False,False,False,0.010934708639979362
3,FE__income_last3,True,False,False,False,0.012550869956612587
3,FE__income_exact_frequency_count,False,True,False,False,0.015433196909725666
3,FE__income_exact_frequency_log1p,False,True,False,False,0.015102140605449677
3,FE__income_exact_frequency_rate,False,True,False,False,0.011001990176737309
3,FE__commute_exact_frequency_count,False,True,False,False,0.011197462677955627
3,FE__commute_exact_frequency_log1p,False,True,False,False,0.010892310179769993
3,FE__commute_exact_frequency_rate,False,True,False,False,0.01352257002145052
3,TE__Annual_Income_USD_exact,False,False,False,True,0.08606762439012527
3,TE__Daily_Commute_km_exact,False,False,False,True,0.03977417200803757
3,TE__Annual_Income_USD_exact_x_Subsidy_Available,False,False,True,True,0.10218022018671036
4,Age,False,False,False,False,0.021452542394399643
4,Annual_Income_USD,False,False,False,False,0.03884385898709297
4,Daily_Commute_km,False,False,False,False,0.012987075373530388
4,Number_of_Cars_Owned,False,False,False,False,0.012349328957498074
4,Charging_Stations_Near_Home,False,False,False,False,0.015604200772941113
4,Charging_Stations_Near_Work,False,False,False,False,0.012700245715677738
4,Environmental_Concern_Level,False,False,False,False,0.23177088797092438
4,Gender,False,False,False,False,0.010292582213878632
4,City_Type,False,False,False,False,0.011618990451097488
4,Current_Car_Type,False,False,False,False,0.011572393588721752
4,Home_Charging_Possible,False,False,False,False,0.03694719076156616
4,Subsidy_Available,False,False,False,False,0.04072154685854912
4,Range_Anxiety_Level,False,False,False,False,0.01806633733212948
4,FE__income_digit_ones,True,False,False,False,0.012004457414150238
4,FE__income_digit_tens,True,False,False,False,0.010932328179478645
