fold,exact_frequency_baseline_auc,digit_candidate_auc,delta_vs_exact_frequency,catboost_auc,delta_vs_catboost,best_iteration_zero_based,te_generation_seconds,fit_seconds,inference_seconds,total_fold_seconds
0,0.9449027663328033,0.94479903373557,-0.0001037325972333969,0.9445226451913928,0.00027638854417710856,1404,2.6698338000023796,10.31471309999688,0.289171799999167,13.444777099997737
1,0.9455028650712451,0.9454377357982751,-6.512927297008808e-05,0.9450696193102858,0.00036811648798928953,1385,2.6390061999991303,10.545161899997765,0.28151230000003125,13.627365299998928
2,0.9468081383093543,0.9467762127427809,-3.192556657338752e-05,0.9464517911811139,0.00032442156166700986,1508,2.708462899998267,11.212104400001408,0.29288330000053975,14.367488600000797
3,0.9460004072778,0.9459879736344557,-1.2433643344245127e-05,0.9457721613739136,0.00021581226054212532,1058,2.7044365000001562,8.58484959999987,0.2614010999968741,11.708310199999687
4,0.9458420125880271,0.945825418298934,-1.659428909317473e-05,0.9454100967519183,0.0004153215470156235,1138,2.7493445000000065,9.011024499999621,0.2733217000022705,12.201059099999839
