secondary,auc,delta_vs_primary
fine_xgb,0.9461125167616531,-1.0783771653422036e-09
old_cat,0.9461125193994102,1.5593799584934231e-09
fine_cat,0.9461125220371672,4.1971369713067475e-09
lgbm,0.9461125176150453,-2.2498491958344857e-10
realmlp,0.9461125216492617,3.8092314857962606e-09
