member,model_family,implementation,evidence_class,standalone_auc,delta_standalone_vs_champion,probability_corr_vs_champion,rank_corr_vs_champion,champion_meta_auc,nested_blend_meta_auc,nested_delta_vs_champion_meta,folds_improved,folds_worse,mean_selected_alpha,max_selected_alpha,screening_signal
d,gradient-boosted trees,scikit-learn HistGradientBoostingClassifier,CLEAN_BY_DISCLOSED_PROTOCOL,0.9416120604587458,-0.0045004706476508005,0.8097016013762464,0.9859413311176455,0.9461125178400303,0.9461125178400303,0.0,0,0,0.0,0.0,ZERO_WEIGHT
b,gradient-boosted trees,XGBoost XGBClassifier (tree_method=hist),CLEAN_BY_DISCLOSED_PROTOCOL,0.9414472199066132,-0.004665311199783417,0.8080715031834819,0.9855537842490809,0.9461125178400303,0.9461125178400303,0.0,0,0,0.0,0.0,ZERO_WEIGHT
c,gradient-boosted trees,CatBoost CatBoostClassifier,CLEAN_BY_DISCLOSED_PROTOCOL,0.9411774055225104,-0.004935125583886202,0.8100468138532044,0.9850124768827354,0.9461125178400303,0.9461125178400303,0.0,0,0,0.0,0.0,ZERO_WEIGHT
f,"spline GAM (additive, linear meta)","scikit-learn SplineTransformer -> LogisticRegression (C=1.0, lbfgs)",CLEAN_BY_DISCLOSED_PROTOCOL,0.9391757788082427,-0.0069367522981539365,0.8096897970991643,0.9813146331243271,0.9461125178400303,0.9461125178400303,0.0,0,0,0.0,0.0,ZERO_WEIGHT
e,neural network (MLP),"scikit-learn MLPClassifier, hidden (128,64), adam, alpha 1e-4, batch 1024, 3 seeds averaged",CLEAN_BY_DISCLOSED_PROTOCOL,0.9383873104948495,-0.007725220611547123,0.8071843401342983,0.976100218039413,0.9461125178400303,0.9461125178400303,0.0,0,0,0.0,0.0,ZERO_WEIGHT
g,bagged randomised trees,"scikit-learn ExtraTreesClassifier (500 trees, min_samples_leaf=50)",CLEAN_BY_DISCLOSED_PROTOCOL,0.9381046136932285,-0.008007917413168086,0.833164766599183,0.9728364934021133,0.9461125178400303,0.9461125178400303,0.0,0,0,0.0,0.0,ZERO_WEIGHT
