fold,champion_auc,external_xgb10_auc,fixed_rank_blend_auc,delta_blend_vs_champion
0,0.9451562179902689,0.9453051988464978,0.9453796049998778,0.00022338700960888858
1,0.9458091925175288,0.9459526801015653,0.9460294951412247,0.00022030262369587827
2,0.9470867427283187,0.9471123955182371,0.9472409372062542,0.00015419447793552088
3,0.9463826034747904,0.946553901558234,0.9466146351163407,0.00023203164155027878
4,0.9461277951488509,0.9463073144448623,0.9463589997815689,0.00023120463271797398
