held_fold,control_old_cat_weight,control_xgb_weight,control_lgbm_weight,control_fit_auc,control_held_auc,candidate_new_cat_weight,candidate_xgb_weight,candidate_lgbm_weight,candidate_fit_auc,candidate_held_auc,candidate_delta_vs_control
0,0.15,0.6,0.25,0.9461491287377388,0.9449677213026113,0.2,0.55,0.25,0.9461647918418459,0.9449749984113873,7.27710877601595e-06
1,0.15,0.6,0.25,0.9459907014440859,0.9456023194776919,0.2,0.55,0.25,0.9460062320770974,0.9456111927549159,8.873277223986342e-06
2,0.15,0.55,0.3,0.9456592060285124,0.9469241198977048,0.2,0.5,0.3,0.9456726049477792,0.9469446868936259,2.0566995921122988e-05
3,0.1,0.65,0.25,0.9458584914676159,0.9461250689677654,0.2,0.55,0.25,0.9458725323957272,0.9461439262819658,1.8857314200371178e-05
4,0.15,0.6,0.25,0.945907592282714,0.9459328881354976,0.2,0.5,0.3,0.9459196751577938,0.9459556050828508,2.27169473532296e-05
