fold,baseline_auc,candidate_auc,delta_vs_baseline,best_iteration,total_fold_seconds
0,0.9445330426958615,0.9445718344822183,3.879178635679548e-05,1397,115.40192949999982
1,0.9450693223706697,0.9451596486477337,9.032627706406782e-05,1930,168.03550139999993
2,0.9465131027144364,0.9465699446374065,5.684192297006341e-05,1883,176.81642350000016
3,0.945763107721874,0.9458407257203905,7.7617998516466e-05,1300,133.30232380000007
4,0.9454831223688367,0.9455099136535595,2.679128472282688e-05,1525,154.00425159999986
