feature,is_new_commute_bucket,is_income_bucket,is_exact_value_id,mean_importance,std_importance
Subsidy_Available,False,False,False,51.9832268488874,0.8112823412978423
Environmental_Concern_Level,False,False,False,24.472431816627566,0.40789572665312407
Annual_Income_USD_id,False,False,True,5.385966110641365,0.13652214264451318
Range_Anxiety_Level,False,False,False,3.395664936525681,0.21581629884666315
CAT__income_1k_bucket,False,True,False,3.2928460041231657,0.16579949986127843
Age,False,False,False,2.2136293515052774,0.22769618634223707
Annual_Income_USD,False,False,False,2.057887720559313,0.2071699051754263
CAT__commute_1km_bucket,True,False,False,1.4341171689020995,0.12670792148682317
CAT__income_10k_bucket,False,True,False,1.0517353292218445,0.1517969025101993
Daily_Commute_km_id,False,False,True,0.802610800166552,0.17675601064780108
Charging_Stations_Near_Home,False,False,False,0.7611274600801655,0.09905808698914016
Home_Charging_Possible,False,False,False,0.6401163341537335,0.09275557501480135
Charging_Stations_Near_Work,False,False,False,0.5918096374751002,0.09005756729191038
Daily_Commute_km,False,False,False,0.33069789694123247,0.01801883584502476
Current_Car_Type,False,False,False,0.3143307916711115,0.039433411923255716
City_Type,False,False,False,0.30321924670450084,0.037079212942779056
CAT__commute_5km_bucket,True,False,False,0.2946636141225959,0.07403874330973889
Gender,False,False,False,0.2547092279930118,0.058901388978271234
Number_of_Cars_Owned,False,False,False,0.18641621012115256,0.03280861230510941
CAT__commute_10km_bucket,True,False,False,0.17667686040277003,0.031255270223589725
CAT__income_100k_bucket,False,True,False,0.056116633174422816,0.04203978335547698
